2:5:9.273           Problem.Calculate   Starting calculation: Task Count = 300; Truck Count = 4; Iterations = 10000
2:5:12.641          Problem.Calculate   Resolving input to OSRM nodes
2:5:12.643          Problem.Calculate   Coordinate resolution complete!
2:13:52.399         FitnessImprovement  Iteration = 90; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 91; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 92; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 93; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 94; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 95; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 96; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 97; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 98; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 99; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 100; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 101; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 102; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 103; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 104; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 105; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 106; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 107; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 108; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 109; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 110; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 111; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 112; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 113; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 114; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 115; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 116; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 117; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 118; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 119; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 120; Fitness = 215368
